Staff Retention Rate,,,,,
County-District Number: 094902 District Name: SCHERTZ-CIBOLO-U CITY ISD,,,,,
Generated: 07/02/2025 10:29:18,,,,,
,,,,,
,,,,,
Staff Retention Rate    TEACHERS ONLY,,,,,
,,,,,
087 Retention Rates,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024,2024 - 2025
District / Campus,[   --   ] = No Data,,,,
(094902) - Schertz-Cibolo-U City ISD,89.6%,85.3%,77.7%,76.3%,83.1%
(094902001) - Samuel Clemens H S,85.3%,83.1%,77.5%,87.2%,81.5%
(094902002) - Allison L Steele E L C,90.9%,90.9%,70.0%,81.8%,90.9%
(094902003) - Byron P Steele II H S,85.7%,87.7%,75.0%,82.5%,85.5%
(094902041) - Ray D Corbett J H,86.6%,79.2%,67.9%,69.3%,72.1%
(094902042) - Dobie J H,87.3%,77.0%,74.0%,68.3%,81.6%
(094902101) - Wiederstein EL,88.1%,87.5%,66.7%,86.5%,84.6%
(094902102) - Rose Garden EL,86.7%,85.7%,84.3%,70.2%,81.7%
(094902103) - Schertz EL,92.3%,88.0%,78.8%,76.8%,84.6%
(094902108) - Laura Ingalls Wilder INT,90.6%,85.2%,83.9%,63.5%,75.0%
(094902109) - Barbara Jordan INT,88.5%,85.7%,82.4%,82.5%,94.5%
(094902110) - Watts EL,92.9%,92.7%,64.3%,55.0%,70.7%
(094902111) - Norma J Paschal EL,90.5%,92.5%,87.5%,81.0%,79.5%
(094902112) - Green Valley EL,95.1%,82.9%,88.1%,76.7%,91.7%
(094902113) - John A Sippel EL,89.8%,83.0%,84.0%,72.0%,93.5%
(094902114) - Elaine S Schlather INT,86.7%,85.7%,80.7%,73.2%,82.7%
(094902115) - Cibolo Valley EL,90.3%,81.0%,72.2%,71.2%,83.0%