Date,"Cibolo
Valley","Green
Valley",Paschal,"Rose
Garden",Schertz,Sippel,Watts,Wiederstein,Jordan,Schlather,Wilder,Dobie,Corbett,Clemens,B Steele,ALS ELC,District Avg
Aug15-Aug16,99.45,98.66,99.63,98.84,98.75,99.49,99.33,98.69,98.85,99.14,98.90,99.38,98.67,98.28,98.80,96.41,98.83
Aug 19-Aug 23,96.60,96.55,97.20,95.73,96.46,96.37,96.56,95.81,96.82,97.50,96.08,97.01,96.06,96.22,96.64,85.06,95.79
Aug 26-Aug 30,95.38,94.87,94.19,94.21,94.64,95.82,94.31,93.86,94.97,95.12,94.07,94.28,93.86,94.81,95.43,83.54,93.96
Sep 3-Sep 6,94.10,95.21,96.60,95.27,95.70,96.32,94.84,94.94,93.98,94.97,93.90,95.35,93.90,93.19,94.08,79.37,93.86
Sep 9 - Sep 13,95.99,95.80,96.64,93.92,94.63,95.97,94.89,96.18,95.45,96.57,94.23,96.06,94.35,94.24,94.87,76.86,94.17
Sep 16-Sep 19,95.84,97.36,97.28,94.90,93.33,95.42,94.46,95.61,95.46,96.51,94.91,95.99,95.00,93.89,95.26,78.00,94.33
Sep 23-Sep 27,95.94,96.38,96.16,95.13,95.38,96.37,95.93,94.63,95.41,96.32,95.22,96.16,94.32,94.45,95.26,83.55,94.79
Sep 30-Oct 4,95.95,95.96,94.24,94.34,94.67,95.55,95.56,95.36,94.84,96.85,84.91,96.23,93.45,94.34,94.89,75.26,93.28
Oct 7-Oct 10,95.94,96.83,95.64,94.64,95.61,95.66,95.39,94.98,95.37,96.16,94.77,96.11,91.62,93.70,95.09,80.50,94.25
Oct 15 -Oct 18,95.74,96.58,95.98,94.08,95.23,96.35,95.68,94.77,95.40,95.82,93.47,96.13,94.06,92.79,94.47,77.72,94.02
Oct 21 -Oct 25,94.45,94.69,96.14,93.85,94.78,94.35,94.84,93.43,93.91,95.56,93.55,95.62,92.72,93.35,95.10,75.98,93.27
Oct 28-Nov 1,93.59,95.37,94.90,91.26,94.17,94.34,93.11,93.58,92.65,95.10,92.72,94.31,92.38,92.09,93.78,75.50,92.43
Nov 4-Nov 7,96.19,96.18,96.61,92.50,95.42,95.90,95.37,94.92,94.42,96.29,94.45,95.40,93.52,93.01,95.21,73.09,93.66
Nov 12-Nov 15,95.42,94.94,95.27,93.22,96.00,96.04,94.96,93.74,94.96,95.04,94.00,95.25,93.75,92.81,93.67,73.57,93.29
Nov 18-Nov 22,95.43,95.12,94.80,92.59,95.31,95.15,94.16,93.35,94.26,94.16,92.88,95.11,93.17,92.20,93.18,74.87,92.86
Dec 2-Dec 6,95.04,96.90,96.02,94.13,94.72,95.51,95.39,94.32,95.19,95.66,92.25,95.58,94.12,91.53,93.90,90.00,94.39
Dec 9-Dec 13,95.13,95.63,94.93,93.68,93.64,94.07,94.35,93.97,94.07,95.22,92.05,95.95,93.38,92.62,94.32,68.54,92.60
Dec 16-Dec 19,94.39,94.51,96.00,94.12,93.23,93.54,92.63,92.97,91.86,93.72,92.58,93.23,94.26,94.97,92.45,53.20,91.10
Jan 7-Jan 10,93.57,95.37,94.72,92.31,91.02,94.23,95.26,93.09,93.27,94.66,92.20,92.42,91.08,90.91,92.94,71.36,91.78
Jan 13-Jan 17,93.53,94.40,89.91,92.18,93.62,91.64,92.71,89.71,93.50,94.96,92.84,93.51,92.50,92.21,93.07,68.64,91.18
Jan 21-Jan 24,91.61,91.38,88.47,90.03,89.98,85.08,91.40,88.05,91.12,91.81,88.24,93.30,91.34,90.75,92.29,68.92,88.99
Jan 27-Jan 31,92.41,92.00,93.14,89.75,92.18,91.83,91.46,92.00,91.79,93.80,92.02,93.34,93.24,91.56,92.66,71.43,90.91
Feb 3- Feb 7,92.13,90.92,95.74,92.03,91.31,94.51,94.72,94.20,92.39,94.86,92.86,92.31,92.02,91.57,92.81,69.51,91.49
Feb 10-Feb 13,92.12,95.28,96.97,93.40,94.79,95.19,95.85,96.65,94.69,94.80,93.75,94.32,91.79,93.08,93.69,71.03,92.96
Feb 18-Feb 21,91.88,92.43,96.23,92.28,91.17,93.61,93.31,94.66,94.32,94.37,92.87,94.56,91.24,91.26,91.89,71.38,91.72
Feb 24-Feb 28,93.20,93.71,95.56,93.29,93.85,93.42,94.30,95.10,94.52,95.61,93.13,92.97,93.97,92.14,92.93,69.78,92.34
Mar 3 - Mar 7,93.76,95.25,96.11,94.43,95.37,94.33,93.79,94.93,94.45,96.00,93.63,94.54,93.90,91.41,93.21,69.43,92.78
Mar 10-Mar 14,92.49,92.53,93.57,91.22,93.55,91.09,91.89,91.70,92.59,93.56,92.29,93.10,92.24,90.97,91.23,66.07,90.63
Mar 24-Mar 28,95.04,95.87,96.42,93.51,95.78,95.22,93.91,95.13,94.75,94.86,94.96,94.36,94.00,92.83,93.50,70.11,93.14
Mar 31 - Apr 3,94.29,95.16,95.96,94.37,94.92,94.64,95.05,94.63,94.65,95.98,95.31,95.05,94.45,93.11,93.67,71.83,93.32
Apr 7-Apr 11,95.36,95.53,95.59,94.86,92.39,94.66,94.50,94.61,95.04,95.38,94.69,95.38,94.99,92.02,93.05,67.98,92.88
Apr 14-Apr 17,94.13,96.78,95.74,94.71,93.67,94.26,95.66,94.87,95.10,95.70,93.55,94.73,93.76,93.38,93.43,68.24,92.98
Apr 22-Apr 25,96.13,95.60,95.94,94.59,95.02,93.59,94.65,93.34,94.37,95.45,94.26,94.32,92.80,88.87,87.55,59.93,91.65
Apr 28-May 2,94.34,95.24,95.33,92.55,94.48,94.47,94.86,94.01,94.39,95.47,92.48,94.29,92.88,92.46,92.69,75.64,92.85
May 5-May 9,94.62,95.68,95.00,93.70,94.09,95.75,94.67,93.77,94.15,96.52,92.45,95.21,93.54,91.79,92.70,77.74,93.21
May 12-May 16,93.82,95.36,95.81,92.46,93.95,95.47,95.10,94.11,92.78,96.13,93.00,93.84,92.82,93.59,92.36,69.11,92.48
May 19-May 23,92.07,93.97,93.81,93.28,92.31,94.64,94.25,94.02,92.56,94.60,92.10,94.13,92.57,95.21,90.91,65.89,91.65
May27-May30,90.63,89.03,94.18,86.67,82.50,90.82,87.81,90.80,88.11,90.02,87.82,90.62,90.76,94.27,83.37,52.05,86.84